,oak_count,oak_score,oak_mentions_count,black_fruit_count,black_fruit_score,black_fruit_mentions_count,earth_count,earth_score,earth_mentions_count,red_fruit_count,red_fruit_score,red_fruit_mentions_count,spices_count,spices_score,spices_mentions_count,microbio_count,microbio_score,microbio_mentions_count,floral_count,floral_score,floral_mentions_count,tree_fruit_count,tree_fruit_score,tree_fruit_mentions_count,dried_fruit_count,dried_fruit_score,dried_fruit_mentions_count,vegetal_count,vegetal_score,vegetal_mentions_count,non_oak_count,non_oak_score,non_oak_mentions_count,citrus_fruit_count,citrus_fruit_score,citrus_fruit_mentions_count,acidity,fizziness,intensity,sweetness,tannin,user_structure_count,calculated_structure_count,tropical_fruit_count,tropical_fruit_score,tropical_fruit_mentions_count
2128723,213.0,26351.0,277.0,165.0,23137.0,236.0,137.0,13139.0,137.0,83.0,7192.0,68.0,82.0,7273.0,78.0,25.0,1922.0,15.0,14.0,1375.0,13.0,4.0,500.0,5.0,12.0,753.0,7.0,10.0,745.0,7.0,133.0,2813.0,9.0,2.0,200.0,2.0,3.8845332,,4.780425,1.5606803,3.4186127,53.0,468.0,,,
1320744,64.0,8680.0,102.0,60.0,7814.0,79.0,55.0,4784.0,44.0,21.0,1881.0,18.0,32.0,2542.0,26.0,13.0,749.0,4.0,5.0,425.0,4.0,1.0,100.0,1.0,2.0,105.0,1.0,3.0,225.0,2.0,40.0,995.0,2.0,1.0,100.0,1.0,3.0000086,,3.6169908,1.8824046,2.952011,170.0,88.0,1.0,100.0,1.0
4861082,7.0,778.0,9.0,13.0,2198.0,22.0,5.0,486.0,5.0,9.0,1013.0,10.0,8.0,751.0,7.0,1.0,167.0,2.0,2.0,200.0,2.0,1.0,100.0,1.0,1.0,89.0,1.0,,,,4.0,85.0,0.0,,,,,,,,,,,1.0,33.0,0.0
7139566,17.0,2593.0,27.0,17.0,3185.0,32.0,11.0,971.0,10.0,9.0,926.0,9.0,16.0,717.0,9.0,1.0,25.0,0.0,3.0,250.0,2.0,,,,3.0,280.0,3.0,2.0,50.0,0.0,13.0,303.0,1.0,1.0,100.0,1.0,3.1286485,,4.56973,1.8729731,3.9081082,12.0,28.0,,,
1247975,43.0,5373.0,58.0,17.0,2490.0,26.0,44.0,5937.0,63.0,25.0,2394.0,23.0,20.0,1982.0,20.0,8.0,499.0,3.0,5.0,425.0,4.0,,,,3.0,216.0,2.0,5.0,265.0,2.0,32.0,819.0,3.0,,,,3.8999465,,3.2796628,1.7066845,3.5845175,39.0,79.0,,,
1379762,57.0,7261.0,78.0,47.0,6187.0,64.0,42.0,3437.0,34.0,24.0,1414.0,12.0,27.0,2317.0,24.0,11.0,832.0,7.0,7.0,625.0,6.0,1.0,100.0,1.0,6.0,390.0,4.0,2.0,125.0,1.0,31.0,812.0,4.0,1.0,100.0,1.0,2.6961284,,4.2318897,1.9573292,3.3041408,41.0,100.0,,,
1259227,71.0,9542.0,100.0,57.0,10105.0,103.0,51.0,6032.0,62.0,41.0,3095.0,29.0,41.0,3068.0,33.0,10.0,651.0,6.0,6.0,450.0,4.0,,,,,,,4.0,160.0,1.0,50.0,1364.0,7.0,1.0,100.0,1.0,3.6432002,,4.808354,1.750184,3.545608,46.0,141.0,1.0,33.0,0.0
100431,9.0,1123.0,13.0,3.0,268.0,3.0,6.0,344.0,3.0,5.0,616.0,6.0,4.0,24.0,0.0,,,,,,,,,,8.0,898.0,9.0,,,,7.0,227.0,1.0,,,,2.236892,,4.8012977,3.4129798,2.1942227,29.0,14.0,,,
1395643,11.0,1540.0,16.0,15.0,2797.0,29.0,7.0,764.0,9.0,6.0,171.0,1.0,4.0,506.0,5.0,2.0,75.0,0.0,6.0,600.0,6.0,,,,2.0,32.0,0.0,2.0,300.0,3.0,6.0,115.0,0.0,,,,3.0930233,,4.254186,2.342093,3.8939536,3.0,15.0,,,
10022,113.0,14250.0,157.0,103.0,15150.0,153.0,90.0,9272.0,94.0,40.0,3733.0,36.0,49.0,3991.0,40.0,16.0,781.0,3.0,4.0,425.0,4.0,2.0,200.0,2.0,8.0,517.0,5.0,7.0,725.0,7.0,67.0,1456.0,4.0,7.0,700.0,7.0,3.949665,,4.738664,1.670921,4.0483904,5.0,196.0,1.0,200.0,2.0
